15270,1.65203385e-06,-1.62111395e-06,2.31456834359623e-06
20270,2.20352375e-06,-2.1832209e-06,3.10193111666721e-06
25270,2.7399192e-06,-2.72664765e-06,3.86545790336777e-06
30270,3.255639e-06,-3.2471173e-06,4.5981470302617e-06
35270,3.76805255e-06,-3.76246455e-06,5.32488118142495e-06
40270,4.27233185e-06,-4.2685132e-06,6.03929006241195e-06
45270,4.76621205e-06,-4.7629525e-06,6.73813727784558e-06
50270,5.26027875e-06,-5.25785715e-06,7.43744542442971e-06
55270,5.74517165e-06,-5.7434022e-06,8.12364857425426e-06
60270,6.2116246e-06,-6.2106002e-06,8.7838394255896e-06
65270,6.6676934e-06,-6.66704155e-06,9.42908152685597e-06
70270,7.0912123e-06,-7.090607e-06,1.00280606149787e-05
75270,7.48930615e-06,-7.48758325e-06,1.05902601285038e-05
80270,7.90219055e-06,-7.898279e-06,1.11726195121492e-05
85270,8.3597959e-06,-8.3509484e-06,1.18162822738724e-05
90270,8.86606275e-06,-8.85307095e-06,1.25293229697793e-05
95270,9.37139855e-06,-9.35789425e-06,1.32436133939916e-05
100270,9.7190147e-06,-9.7074662e-06,1.37365988115768e-05
