1270,-1.79280737e-09,-3.66012045e-08,3.67384597788074e-08
1770,-1.00117904e-09,-4.9825986e-08,4.98967132318384e-08
2270,-2.491303585e-09,-6.41685785e-08,6.42256918400363e-08
2770,-4.26082236e-09,-7.8580797e-08,7.87325369122292e-08
3270,-4.95931949e-09,-9.3714789e-08,9.38667466903338e-08
3770,-5.93721885e-09,-1.0530975e-07,1.05508588204765e-07
4270,-8.6147871e-09,-1.2104949e-07,1.21366186979886e-07
4770,-9.3132798e-09,-1.34344195e-07,1.34687174039818e-07
5270,-1.2922164e-08,-1.4621856e-07,1.46795016755417e-07
5770,-1.60654195e-08,-1.5914065e-07,1.59955797614693e-07
6270,-1.6065409e-08,-1.7150397e-07,1.722698952563e-07
6770,-1.8091055e-08,-1.82912665e-07,1.83813428580495e-07
7270,-2.24449885e-08,-1.9699891e-07,1.98277441356078e-07
7770,-2.42377835e-08,-2.08384325e-07,2.09801375101385e-07
8270,-2.5448503e-08,-2.1902471e-07,2.20505537467587e-07
8770,-3.0151737e-08,-2.30619665e-07,2.32588962142911e-07
9270,-3.04078625e-08,-2.43752215e-07,2.45644427323878e-07
9770,-3.27827755e-08,-2.53950195e-07,2.56064015144065e-07
10270,-3.64149415e-08,-2.6624367e-07,2.68734825532597e-07
